v8-version,6,2,414,54,0
shared-library,"/home/xeemu/.nvm/versions/node/v8.11.2/bin/node",0x00400000,0x01f4b000,0
shared-library,"/lib/x86_64-linux-gnu/libc-2.23.so",0x7f76d8011000,0x7f76d81d1000,0
shared-library,"/lib/x86_64-linux-gnu/libpthread-2.23.so",0x7f76d83db000,0x7f76d83f3000,0
shared-library,"/lib/x86_64-linux-gnu/libgcc_s.so.1",0x7f76d85f8000,0x7f76d860e000,0
shared-library,"/lib/x86_64-linux-gnu/libm-2.23.so",0x7f76d880e000,0x7f76d8916000,0
shared-library,"/usr/lib/x86_64-linux-gnu/libstdc++.so.6.0.21",0x7f76d8b17000,0x7f76d8c89000,0
shared-library,"/lib/x86_64-linux-gnu/librt-2.23.so",0x7f76d8e99000,0x7f76d8ea0000,0
shared-library,"/lib/x86_64-linux-gnu/libdl-2.23.so",0x7f76d90a1000,0x7f76d90a4000,0
shared-library,"/lib/x86_64-linux-gnu/ld-2.23.so",0x7f76d92a5000,0x7f76d92cb000,0
shared-library,"[vdso]",0x7ffdfd242000,0x7ffdfd244000,0
shared-library,"[vsyscall]",0xffffffffff600000,0xffffffffff601000,0
profiler,"begin",1000
tick,0x7f76d83ea827,475,0,0x0,4
tick,0x1030023,1485,0,0x0,4
code-creation,Stub,3,1989,0x3485bc304060,234,"JSEntryStub"
code-creation,Builtin,5,1991,0x3485bc3041c0,128,"JSEntryTrampoline"
code-creation,Stub,3,1992,0x3485bc3042a0,286,"CEntryStub"
code-creation,Builtin,5,1992,0x3485bc304420,123,"Call_ReceiverIsAny"
code-creation,Builtin,5,1993,0x3485bc304500,295,"CallFunction_ReceiverIsAny"
code-creation,Builtin,5,1994,0x3485bc3046a0,351,"ToObject"
code-creation,Stub,3,1995,0x3485bc304860,2084,"RecordWriteStub"
code-creation,Stub,3,1995,0x3485bc305100,292,"StoreBufferOverflowStub"
code-creation,Builtin,5,1996,0x3485bc3052a0,239,"ArgumentsAdaptorTrampoline"
code-creation,Builtin,5,1997,0x3485bc305400,139,"CallBoundFunction"
code-creation,Builtin,5,1997,0x3485bc305500,548,"CallProxy"
code-creation,Stub,3,1998,0x3485bc3057a0,1693,"GetPropertyStub"
code-creation,Builtin,5,1998,0x3485bc305ea0,270,"CallFunction_ReceiverIsNotNullOrUndefined"
code-creation,Stub,3,1999,0x3485bc306020,234,"JSEntryStub"
code-creation,Builtin,5,2000,0x3485bc306180,128,"JSConstructEntryTrampoline"
code-creation,Builtin,5,2000,0x3485bc306260,77,"Construct"
